image_name,ocr_text
test_20260614_133930_jpg.rf.936283b369c239e4469cfafd88abcacd_0.jpg,"국신화교부드램로 요거트 TaIL TU 땀유 말레미 {야산. 소명 소비I' '왼J 프로 연산) 끝m골요움 함료 l가루물 도러하책 1399 콤콤 ll옳쁨장후 어륭-불  호루 '부정' 물론 각록후 의한 '맞은 곳남 '콤기 월입로포 바문저 nNn: '소미기 컬러미사가, '립불/민다 '성크럽 신물컵 '산산스리0 '말로렉스트린 물러다 {식물성육자 , 주무데 온입가등 {타침대 아라비야 '#변없이' 트요 온밥제체 토마토 '피라보상' 소비자 ""슬목가' 37?32>"
test_20260614_133936_jpg.rf.e976887593a5dfdee0dfd24c75ea13b1_0.jpg,"'폭심구 그 부므러늄 오거드아시렌로 흉나용말   37C BIIDN 특보고번로 D@m쪽mm 1리담 기 kra 제기한 [ 흑_피기핵끼짐  또필 어] 기즈전뜨 소미정대편콤 깊음: 킬씬로고9 ""밀휘하지하산. 식물정유자- 스저지 주오리온저적 '품유 발리다지하증 콤흘러말원 손라린되재  업소말 #리 편기료 스팀 -소니 ""다물로콩무권 소르비단지밤 재랑매 벽설팀 #  국스밥 07823 답제-3 돌입거하입스물청유집 러둑 모_부_ _기기항요 교회사함 _ 달걀 무문 글러스틱 3요 제리국 동_교회{입7 등 입제 호징어 거우 토미토 부정 '보통 샌문줄적물리E = '0j736r (본벌거 곳어 '개쁨 찌터온 구입한 영양장보 '말휘리지 ' 스스즐크 '출l등 모거트문말 온주수 @물 본기리5-스다 (어스러리 갈t스드리 부드다 아라니 'j9 주멍다 문고기 @] %@"
test_20260614_134044_jpg.rf.3f10895ccad6ea809c916ccbf47d337d_0.jpg,옥스스 J 09. 이: 근명 한근 논비 신냐 간` 84 미한 '25까지 2026 NENa VA 과자보 한제하/해 시On이 Gooit 업소염 기인진u 3U: LOa(8OACa 기- 무'a어 질치 10a. 신새요: 및 Noll
test_20260614_134056_jpg.rf.7dbf04349226ca02326439c8cb63cfd8_0.jpg,"162 9 친접흡 퓨어탤 기| COKr (업소몇%' 소비기한 플""필 원까쪽 캐나다 ] (미국 '활동], S 글근 활코국 (원재료명 모는 알물 네 코에 '접물 보관방법 [애 5o 어로 [사상담실 UBo 고,호 입진 희사증 섭촉 내용관 고구마신기지 과시(유탕처리제품) 체표다 식품무엉 스무스제과 ' G관 금강로 CmS http:llwWW [요결림말_미로 발날다시@ '유, {항숨탓하간  코제물 (톤 Potato 공버터 지방산에 98 제소물체키 성 u깐 고 (리' . 뜨습교유 바람 1986033205148 저방: "
test_20260614_134101_jpg.rf.31291d284c56619b567920454c551aef_0.jpg,제품명 고구마형과자 내용량 162 의 식품유형 과자(유탕처리제품) [쓸교  품_ 영요트다 http:llwww csmnS 소비기한 호면포기일까지 밀가루[ SII 인유[땀 '@낚g로강상 토보페 들(혼합 로네 홀륭 땅능번렬다 498 %6 원재료명 불제:교 임 960번길 CoKI 생요당}망~ 탓하 증 '1세'
test_20260614_134258_jpg.rf.b5b5e0a48f4851716aefd7995d3e7d70_0.jpg,말단 기타 돼린 산노 일합) 국액한천 숙이등 %) 출액 89 동 양 마말티 설시금 알물출용철다 고퉁어 토마로 계란 머l물(물철등륭합 꿀합) 훌훌가출록 탤골출출가늄 u 흥콤 물과 }{관신글 'k즈원 (감미료) 산도조핑제 식용유지기 돼지고기 묶승하 불요 절제? '입유제 '당말코올 171 메메임땅끔 름들식품 '_근3'' '고개지어신터-(670)1057 2023
test_20260614_134750_jpg.rf.e796a2b61a281428b46f40cd451e9482_0.jpg,"9 뜻 합행 Ty 50 제1 버티 밀 우유 #G앞색} 정계수 대두 아황산류 함유 손빛기화 | 말손 포기스-_울올보고호 I9g40 포장재질|플리프로필레내포창면 해태제과식품(주) / 천안-공장 제 조 원 충남 천안시 식물구 성거움 전출되환프 유통전문 |올림영해채젯 끄길 기부염률 길리 판햇 흙|심울록-활 '식사광선 및 본 OU I 곳에 사급히 *유a '부정 곳 *이 '생길 주 '보사 및 428 미) 기포키 극세식품유성] 원재료명 당 코코아매스(데럴관드산) 가공유제싱가모로산 j밀가루{밀로주산 트님 대g과 코코아버터 정제소금 서 미구산 유화제2 유화제 , 흔합제제치자랑색소 '항금5용 국색소) 산도조절제2 트 프로핑면 규다 '한강대로 용산구 서들하고 훌륭이 '피하여 '긍성거대워터화  습기찬 세물은 '요극부터 ( 주십시오 수신사 보관하여 '고객만족실; '국번없이 토바도: 피해보상  신고논 불랑식품 세중온 의거 g으니 있습니다 구입한  보리히^ 세조하고 16677) '표면송이 'C이하로 어설에서 '하안"
test_20260614_134912_jpg.rf.fa9ad12d1b6eec77586399144cf94d52_0.jpg,"'i구 형양경보 +Ze 돕P고반로 대모심재주 못데멘주트(주 ) 김기도 h렉 진미면 전기로 옮기인까지현 말 '효껏 식도님_김 진쪽품@   -;제-가종늘보 n국[뱃 축륭렉가 골문 요주룻 발대출표R지뭐 표 때감미롬' 준데스 물재로밑 선님 _ '무지 맘유 {국내신 [효진""지 -주중 주집발가로로꽤트 대도 본자서 학실 ""캠퓨기다가공"" 주-주어트 구입 심다 똑립하다 일반중투주0 영 국대 진넥꼽히 협결주' 미해내 의라 '피해 보상 '땅'기름-L 표면이 묵 없이 1339 교환 . 유용 부정 설림식품 실n문 마 만 버리드 맨림습나다 고문 돼지고기 트입 가늘 796303050 [=? 냄어 '민가 구 (무 미국산 '고균야분말|. 소비기인 법스트다R 모섭년유 '유지 L보 규 터R '레시니) 전망광 켜수 '가끔R다"" , 발래인터) 기타설밤(석답 전분) 쇼트님""(가국유시; . % 기나고 코아가 공품 유청다 분말 신5 소 식제?3 . 고지관면 '보일산은 드서로 4유화제로움 EMLI 피택 시요산 반침데 :소비사기본 ' 녹이 하인  '직사관선 박근 마' 휴지 ;느"
test_20260614_135034_jpg.rf.fce49c5fd42aff4cf8d899b8ab9138c2_0.jpg,"노장 ""5용 역양정보 지불강로 m3 폭탤O] 교) '내용량  D0965 349 쓰.Dp 190 kcal 15959 [질; 7요"
train_20260614_133326_jpg.rf.4f05b90e1231f0a37a569ad728219b9b_0.jpg,"이미시예 LI 소네 Wyl 스내 D기미싸 엉망정보 ETrEal 캐리 스a의 1거 어무 4II|a -요 ""h때 문 무대 5p - 100 무덤 기""_무 77; 5;F5 스 스_ 6난금 W   Ti Id '어러어시이신 그타오리야산씨 사cU"" f구 - 자랑싸9 도의지방터 공 SAIn 어어드 ^ 궁문 국내부 꽃어 브r끼 어캠침다 표움대이 4LV O히"
